x	y
93801.0	1.0
93901.0	1.0
94001.0	0.0
94101.0	0.0
94201.0	1.0
94301.0	1.0
94401.0	0.0
94501.0	0.0
94601.0	0.0
94701.0	1.0
94801.0	1.0
94901.0	0.0
95001.0	0.0
95101.0	0.0
95201.0	0.0
95301.0	0.0
95401.0	0.0
95501.0	0.0
95601.0	0.0
95701.0	0.0
95801.0	0.0
95901.0	0.0
96001.0	0.0
96101.0	0.0
96201.0	0.0
96301.0	0.0
96401.0	0.0
96501.0	0.0
96601.0	0.0
96701.0	0.0
96801.0	0.0
96901.0	0.0
97001.0	0.0
97101.0	1.0
97201.0	0.0
97301.0	0.0
97401.0	0.0
97501.0	0.0
97601.0	0.0
97701.0	0.0
97801.0	0.0
97901.0	0.0
98001.0	0.0
98101.0	0.0
98201.0	0.0
98301.0	0.0
98401.0	0.0
98501.0	0.0
98601.0	0.0
98701.0	0.0
98801.0	0.0
98901.0	0.0
99001.0	0.0
99101.0	0.0
99201.0	0.0
99301.0	0.0
99401.0	0.0
99501.0	0.0
99601.0	0.0
99701.0	0.0
99801.0	0.0
99901.0	0.0
100001.0	0.0
100101.0	0.0
100201.0	0.0
100301.0	0.0
100401.0	1.0
100501.0	0.0
100601.0	0.0
100701.0	0.0
100801.0	0.0
100901.0	0.0
101001.0	0.0
101101.0	1.0
101201.0	0.0
101301.0	0.0
101401.0	0.0
101501.0	0.0
101601.0	0.0
101701.0	0.0
101801.0	0.0
101901.0	0.0
102001.0	0.0
102101.0	0.0
102201.0	0.0
102301.0	0.0
102401.0	0.0
102501.0	0.0
102601.0	0.0
102701.0	0.0
102801.0	0.0
102901.0	0.0
103001.0	0.0
103101.0	0.0
103201.0	0.0
103301.0	0.0
103401.0	0.0
103501.0	0.0
103601.0	0.0
103701.0	0.0
103801.0	0.0
103901.0	0.0
104001.0	0.0
104101.0	0.0
104201.0	0.0
104301.0	0.0
104401.0	0.0
104501.0	0.0
104601.0	0.0
104701.0	0.0
104801.0	0.0
104901.0	0.0
105001.0	0.0
105101.0	0.0
105201.0	0.0
105301.0	0.0
105401.0	0.0
105501.0	0.0
105601.0	0.0
105701.0	0.0
105801.0	0.0
105901.0	0.0
106001.0	0.0
106101.0	0.0
106201.0	0.0
106301.0	0.0
106401.0	0.0
106501.0	0.0
106601.0	0.0
106701.0	0.0
106801.0	0.0
106901.0	0.0
107001.0	0.0
107101.0	0.0
107201.0	0.0
107301.0	0.0
107401.0	0.0
107501.0	0.0
107601.0	0.0
107701.0	0.0
107801.0	0.0
107901.0	0.0
108001.0	0.0
108101.0	0.0
108201.0	0.0
108301.0	0.0
108401.0	0.0
108501.0	0.0
108601.0	1.0
108701.0	0.0
108801.0	0.0
108901.0	0.0
109001.0	0.0
109101.0	0.0
109201.0	0.0
109301.0	0.0
109401.0	0.0
109501.0	0.0
109601.0	0.0
109701.0	0.0
109801.0	0.0
109901.0	0.0
110001.0	0.0
110101.0	0.0
110201.0	0.0
110301.0	0.0
110401.0	0.0
110501.0	0.0
110601.0	0.0
110701.0	0.0
110801.0	0.0
110901.0	0.0
111001.0	0.0
111101.0	0.0
111201.0	0.0
111301.0	1.0
111401.0	0.0
111501.0	0.0
111601.0	0.0
111701.0	0.0
111801.0	0.0
111901.0	0.0
112001.0	0.0
112101.0	0.0
112201.0	0.0
112301.0	0.0
112401.0	0.0
112501.0	0.0
112601.0	0.0
112701.0	0.0
112801.0	0.0
112901.0	0.0
113001.0	0.0
113101.0	0.0
113201.0	0.0
113301.0	0.0
113401.0	0.0
113501.0	0.0
113601.0	0.0
113701.0	0.0
113801.0	1.0
113901.0	0.0
114001.0	0.0
114101.0	0.0
114201.0	0.0
114301.0	0.0
114401.0	0.0
114501.0	0.0
114601.0	0.0
114701.0	0.0
114801.0	0.0
114901.0	0.0
115001.0	0.0
115101.0	0.0
115201.0	0.0
115301.0	0.0
115401.0	0.0
115501.0	0.0
115601.0	0.0
115701.0	0.0
115801.0	0.0
115901.0	0.0
116001.0	0.0
116101.0	0.0
116201.0	0.0
116301.0	0.0
116401.0	0.0
116501.0	0.0
116601.0	0.0
116701.0	0.0
116801.0	0.0
116901.0	0.0
117001.0	0.0
117101.0	0.0
117201.0	0.0
117301.0	0.0
117401.0	0.0
117501.0	0.0
117601.0	0.0
117701.0	0.0
117801.0	0.0
117901.0	0.0
118001.0	0.0
118101.0	0.0
118201.0	0.0
118301.0	0.0
118401.0	0.0
118501.0	0.0
118601.0	0.0
118701.0	0.0
118801.0	0.0
118901.0	0.0
119001.0	0.0
119101.0	0.0
119201.0	0.0
119301.0	0.0
119401.0	0.0
119501.0	0.0
119601.0	0.0
119701.0	0.0
119801.0	0.0
119901.0	0.0
120001.0	0.0
120101.0	0.0
120201.0	0.0
120301.0	0.0
120401.0	0.0
120501.0	0.0
120601.0	0.0
120701.0	0.0
120801.0	0.0
120901.0	0.0
121001.0	0.0
121101.0	0.0
121201.0	0.0
121301.0	0.0
121401.0	0.0
121501.0	0.0
121601.0	0.0
121701.0	0.0
121801.0	0.0
121901.0	0.0
122001.0	0.0
122101.0	0.0
122201.0	0.0
122301.0	0.0
122401.0	0.0
122501.0	0.0
122601.0	0.0
122701.0	0.0
122801.0	0.0
122901.0	0.0
123001.0	0.0
123101.0	0.0
123201.0	0.0
123301.0	0.0
123401.0	0.0
123501.0	0.0
123601.0	0.0
123701.0	0.0
123801.0	0.0
123901.0	0.0
124001.0	0.0
124101.0	0.0
124201.0	0.0
124301.0	0.0
124401.0	0.0
124501.0	0.0
124601.0	0.0
124701.0	0.0
124801.0	0.0
124901.0	0.0
125001.0	0.0
125101.0	0.0
125201.0	0.0
125301.0	0.0
125401.0	0.0
125501.0	0.0
125601.0	0.0
125701.0	0.0
125801.0	0.0
125901.0	0.0
126001.0	0.0
126101.0	0.0
126201.0	0.0
126301.0	0.0
126401.0	0.0
126501.0	0.0
126601.0	0.0
126701.0	0.0
126801.0	0.0
126901.0	0.0
127001.0	0.0
127101.0	0.0
127201.0	0.0
127301.0	0.0
127401.0	0.0
127501.0	0.0
127601.0	0.0
127701.0	0.0
127801.0	0.0
127901.0	0.0
128001.0	0.0
128101.0	0.0
128201.0	0.0
128301.0	0.0
128401.0	0.0
128501.0	0.0
128601.0	0.0
128701.0	0.0
128801.0	0.0
128901.0	0.0
129001.0	0.0
129101.0	0.0
129201.0	0.0
129301.0	0.0
129401.0	0.0
129501.0	0.0
129601.0	0.0
129701.0	0.0
129801.0	0.0
129901.0	0.0
130001.0	0.0
130101.0	0.0
130201.0	0.0
130301.0	0.0
130401.0	0.0
130501.0	0.0
130601.0	0.0
130701.0	0.0
130801.0	0.0
130901.0	0.0
131001.0	0.0
131101.0	0.0
131201.0	0.0
131301.0	0.0
131401.0	0.0
131501.0	0.0
131601.0	0.0
131701.0	0.0
131801.0	0.0
131901.0	0.0
132001.0	0.0
132101.0	0.0
132201.0	0.0
132301.0	0.0
132401.0	0.0
132501.0	0.0
132601.0	0.0
132701.0	0.0
132801.0	0.0
132901.0	0.0
133001.0	0.0
133101.0	0.0
133201.0	0.0
133301.0	0.0
133401.0	0.0
133501.0	0.0
133601.0	0.0
133701.0	0.0
133801.0	0.0
133901.0	0.0
134001.0	0.0
134101.0	0.0
134201.0	0.0
134301.0	0.0
134401.0	0.0
134501.0	0.0
134601.0	0.0
134701.0	0.0
134801.0	0.0
134901.0	0.0
135001.0	0.0
135101.0	0.0
135201.0	0.0
135301.0	0.0
135401.0	0.0
135501.0	0.0
135601.0	0.0
135701.0	0.0
135801.0	0.0
135901.0	0.0
136001.0	0.0
136101.0	0.0
136201.0	0.0
136301.0	0.0
136401.0	0.0
136501.0	0.0
136601.0	0.0
136701.0	0.0
136801.0	0.0
136901.0	0.0
137001.0	0.0
137101.0	0.0
137201.0	0.0
137301.0	0.0
137401.0	0.0
137501.0	0.0
137601.0	0.0
137701.0	0.0
137801.0	0.0
137901.0	0.0
138001.0	0.0
138101.0	0.0
138201.0	0.0
138301.0	0.0
138401.0	0.0
138501.0	0.0
138601.0	0.0
138701.0	0.0
138801.0	0.0
138901.0	0.0
139001.0	0.0
139101.0	0.0
139201.0	0.0
139301.0	0.0
139401.0	0.0
139501.0	0.0
139601.0	0.0
139701.0	0.0
139801.0	0.0
139901.0	0.0
140001.0	0.0
140101.0	0.0
140201.0	0.0
140301.0	0.0
140401.0	0.0
140501.0	0.0
140601.0	0.0
140701.0	0.0
140801.0	0.0
140901.0	0.0
141001.0	0.0
141101.0	0.0
141201.0	0.0
141301.0	0.0
141401.0	0.0
141501.0	0.0
141601.0	0.0
141701.0	0.0
141801.0	0.0
141901.0	0.0
142001.0	0.0
142101.0	0.0
142201.0	0.0
142301.0	0.0
142401.0	0.0
142501.0	0.0
142601.0	0.0
142701.0	0.0
142801.0	0.0
142901.0	0.0
143001.0	0.0
143101.0	0.0
143201.0	0.0
143301.0	0.0
143401.0	0.0
143501.0	0.0
143601.0	0.0
143701.0	0.0
143801.0	0.0
143901.0	0.0
144001.0	0.0
144101.0	0.0
144201.0	0.0
144301.0	0.0
144401.0	0.0
144501.0	0.0
144601.0	0.0
144701.0	0.0
144801.0	0.0
144901.0	0.0
145001.0	0.0
145101.0	0.0
145201.0	0.0
145301.0	0.0
145401.0	0.0
145501.0	0.0
145601.0	0.0
145701.0	0.0
145801.0	0.0
145901.0	0.0
146001.0	0.0
146101.0	0.0
146201.0	0.0
146301.0	0.0
146401.0	0.0
146501.0	0.0
146601.0	0.0
146701.0	0.0
146801.0	0.0
146901.0	0.0
147001.0	0.0
147101.0	0.0
147201.0	0.0
147301.0	0.0
147401.0	0.0
147501.0	0.0
147601.0	0.0
147701.0	0.0
147801.0	0.0
147901.0	0.0
148001.0	0.0
148101.0	0.0
148201.0	0.0
148301.0	0.0
148401.0	0.0
148501.0	0.0
148601.0	0.0
148701.0	0.0
148801.0	0.0
148901.0	0.0
149001.0	0.0
149101.0	0.0
149201.0	0.0
149301.0	0.0
149401.0	0.0
149501.0	0.0
149601.0	0.0
149701.0	0.0
149801.0	0.0
149901.0	0.0
150001.0	0.0
150101.0	0.0
150201.0	0.0
150301.0	0.0
150401.0	0.0
150501.0	0.0
150601.0	0.0
150701.0	0.0
150801.0	0.0
150901.0	0.0
151001.0	0.0
151101.0	0.0
151201.0	0.0
151301.0	0.0
151401.0	0.0
151501.0	0.0
151601.0	0.0
151701.0	0.0
151801.0	0.0
151901.0	0.0
152001.0	0.0
152101.0	0.0
152201.0	0.0
152301.0	0.0
152401.0	1.0
152501.0	0.0
152601.0	0.0
152701.0	0.0
152801.0	0.0
152901.0	0.0
153001.0	0.0
153101.0	0.0
153201.0	0.0
153301.0	0.0
153401.0	0.0
153501.0	0.0
153601.0	0.0
153701.0	0.0
153801.0	0.0
153901.0	0.0
154001.0	0.0
154101.0	0.0
154201.0	0.0
154301.0	0.0
154401.0	0.0
154501.0	0.0
154601.0	0.0
154701.0	0.0
154801.0	0.0
154901.0	0.0
155001.0	0.0
155101.0	0.0
155201.0	0.0
155301.0	0.0
155401.0	0.0
155501.0	0.0
155601.0	0.0
155701.0	0.0
155801.0	0.0
155901.0	0.0
